mean_load,service_time,amplitude,method,plan,staff_hours,gap_vs_sgs,gap_vs_sgs_ucb,diff_by_hour,worst_late,worst_hour,hours_over_alpha,hours_significantly_over,late_by_hour,overall_late,mean_wait
2.0,8.0,0.3,Lag-SIPP,"[3, 4, 3, 3, 3, 3, 4, 3]",26,1,0,"[0, 0, 0, 0, 1, 0, 0, 0]",0.0426,7,0,0,"[0.0272, 0.0303, 0.041, 0.0256, 0.0131, 0.0335, 0.0157, 0.0426]",0.0286,1.983
2.0,8.0,0.3,OL-avg,"[3, 4, 3, 3, 3, 3, 4, 3]",26,1,0,"[0, 0, 0, 0, 1, 0, 0, 0]",0.0426,7,0,0,"[0.0272, 0.0303, 0.041, 0.0256, 0.0131, 0.0335, 0.0157, 0.0426]",0.0286,1.983
2.0,8.0,0.3,OL-max,"[4, 4, 4, 3, 3, 4, 4, 4]",30,5,4,"[1, 0, 1, 0, 1, 1, 0, 1]",0.0164,1,0,0,"[0.0029, 0.0164, 0.0099, 0.0151, 0.0105, 0.0039, 0.0087, 0.0045]",0.009,1.002
2.0,8.0,0.3,SGS,"[3, 4, 3, 3, 2, 3, 4, 3]",25,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]",0.107,4,1,0,"[0.0272, 0.0303, 0.041, 0.0283, 0.107, 0.0515, 0.019, 0.0431]",0.0406,2.425
2.0,8.0,0.3,SGS-UCB,"[3, 4, 3, 3, 3, 3, 4, 3]",26,1,0,"[0, 0, 0, 0, 1, 0, 0, 0]",0.0426,7,0,0,"[0.0272, 0.0303, 0.041, 0.0256, 0.0131, 0.0335, 0.0157, 0.0426]",0.0286,1.983
2.0,8.0,0.6,SIPP,"[4, 5, 3, 2, 2, 4, 4, 3]",27,3,3,"[1, 1, 0, 0, 0, 1, 0, 0]",0.0538,3,0,0,"[0.0027, 0.0086, 0.0344, 0.0538, 0.0462, 0.0054, 0.0286, 0.0383]",0.0219,1.62
2.0,8.0,0.6,Lag-SIPP,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0756,2,0,0,"[0.0377, 0.0737, 0.0756, 0.0594, 0.0511, 0.0456, 0.0418, 0.0416]",0.0534,3.007
2.0,8.0,0.6,OL-avg,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0756,2,0,0,"[0.0377, 0.0737, 0.0756, 0.0594, 0.0511, 0.0456, 0.0418, 0.0416]",0.0534,3.007
2.0,8.0,0.6,OL-max,"[4, 5, 5, 3, 2, 4, 4, 4]",31,7,7,"[1, 1, 2, 1, 0, 1, 0, 1]",0.0324,4,0,0,"[0.0027, 0.0064, 0.002, 0.0017, 0.0324, 0.0054, 0.0241, 0.0117]",0.0104,1.059
2.0,8.0,0.6,SGS,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0756,2,0,0,"[0.0377, 0.0737, 0.0756, 0.0594, 0.0511, 0.0456, 0.0418, 0.0416]",0.0534,3.007
2.0,8.0,0.6,SGS-UCB,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0756,2,0,0,"[0.0377, 0.0737, 0.0756, 0.0594, 0.0511, 0.0456, 0.0418, 0.0416]",0.0534,3.007
2.0,16.0,0.3,SIPP,"[4, 4, 4, 3, 3, 4, 4, 4]",30,2,1,"[1, 0, 0, 0, 0, 1, 0, 0]",0.0618,3,0,0,"[0.0124, 0.0522, 0.046, 0.0618, 0.0457, 0.026, 0.0492, 0.0381]",0.041,1.822
