office,service_time,patience,mode,plan,staff_hours,found_by,worst_served_late,served_late_misses,worst_fail,fail_misses,overall_fail,overall_abandon,worst_hour_abandon,abandoned_per_day,wasted_min_per_leaver,mean_wait_served,served_late_by_hour,fail_by_hour
office,8.0,logn30,balk,"[2, 4, 2, 2, 2, 3, 3, 3]",21,no-abandonment SGS-UCB@-; SGS-UCB (fail)@balk,0.0738,0,0.0909,0,0.0393,0.0095,0.028,0.84,0.0,1.987,"[0.0536, 0.0063, 0.0738, 0.0522, 0.0389, 0.0111, 0.0191, 0.0089]","[0.08, 0.0068, 0.0909, 0.0675, 0.0505, 0.0125, 0.0224, 0.0116]"
office,8.0,logn30,renege,"[3, 3, 3, 2, 2, 3, 3, 3]",22,SIPP (Erlang-C)@-; SIPP-A (fail)@renege; SIPP-A (fail)@balk,0.0264,0,0.0393,0,0.0213,0.0068,0.0132,0.6,14.99,1.499,"[0.0059, 0.0257, 0.0114, 0.0237, 0.0264, 0.0074, 0.0124, 0.0065]","[0.0093, 0.0367, 0.0157, 0.0345, 0.0393, 0.0104, 0.0185, 0.0094]"
office,8.0,logn30,balk,"[3, 3, 3, 2, 2, 3, 3, 3]",22,SIPP (Erlang-C)@-; SIPP-A (fail)@renege; SIPP-A (fail)@balk,0.0381,0,0.0493,0,0.0249,0.0047,0.0117,0.42,0.0,1.615,"[0.0077, 0.0342, 0.0159, 0.0309, 0.0381, 0.0111, 0.0191, 0.0089]","[0.0095, 0.042, 0.0187, 0.0384, 0.0493, 0.0125, 0.0224, 0.0116]"
R8_S16_A0.6,16.0,exp30,renege,"[6, 10, 8, 5, 4, 7, 10, 7]",57,SGS-UCB (late)@renege; SGS-UCB (late)@balk,0.069,0,0.244,8,0.1968,0.152,0.188,36.51,5.37,4.365,"[0.0571, 0.069, 0.0416, 0.036, 0.0569, 0.0488, 0.0461, 0.0538]","[0.2037, 0.244, 0.1632, 0.1338, 0.1873, 0.1918, 0.1896, 0.1933]"
R8_S16_A0.6,16.0,exp30,balk,"[6, 10, 8, 5, 4, 7, 10, 7]",57,SGS-UCB (late)@renege; SGS-UCB (late)@balk,0.0825,0,0.2409,8,0.2148,0.1576,0.1843,37.84,0.0,4.408,"[0.0672, 0.0825, 0.0658, 0.0509, 0.0725, 0.0564, 0.0613, 0.0785]","[0.2391, 0.2409, 0.1928, 0.1531, 0.2248, 0.2119, 0.1943, 0.2241]"
R8_S16_A0.6,16.0,exp30,renege,"[8, 13, 9, 6, 5, 9, 12, 9]",71,SGS-UCB (fail)@renege,0.0157,0,0.0838,0,0.0688,0.0618,0.0699,14.83,3.85,1.69,"[0.0091, 0.0062, 0.0076, 0.01, 0.0157, 0.0048, 0.0058, 0.0073]","[0.0783, 0.0687, 0.0608, 0.0613, 0.0838, 0.066, 0.0719, 0.057]"
R8_S16_A0.6,16.0,exp30,balk,"[8, 13, 9, 6, 5, 9, 12, 9]",71,SGS-UCB (fail)@renege,0.0217,0,0.1008,0,0.0768,0.0656,0.0839,15.74,0.0,1.743,"[0.0142, 0.009, 0.0134, 0.0167, 0.0217, 0.0079, 0.011, 0.0124]","[0.0969, 0.0687, 0.0706, 0.0678, 0.1008, 0.0751, 0.0748, 0.0674]"
R8_S16_A0.6,16.0,exp30,renege,"[8, 15, 9, 7, 6, 9, 14, 9]",77,no-abandonment SGS-UCB@-,0.009,0,0.0775,0,0.0436,0.0402,0.0691,9.65,3.51,1.095,"[0.009, 0.001, 0.0032, 0.0034, 0.0041, 0.0048, 0.0011, 0.0043]","[0.0775, 0.0272, 0.0426, 0.0304, 0.037, 0.0635, 0.0276, 0.0431]"
R8_S16_A0.6,16.0,exp30,balk,"[8, 15, 9, 7, 6, 9, 14, 9]",77,no-abandonment SGS-UCB@-,0.014,0,0.0968,0,0.0498,0.0439,0.0839,10.54,0.0,1.123,"[0.014, 0.0022, 0.0079, 0.0053, 0.0066, 0.0075, 0.0022, 0.0079]","[0.0968, 0.0266, 0.0502, 0.0329, 0.0454, 0.0742, 0.0276, 0.0485]"
R8_S16_A0.6,16.0,exp30,renege,"[9, 13, 9, 6, 6, 9, 12, 9]",73,SGS-UCB (fail)@balk,0.0095,0,0.0721,0,0.0612,0.0555,0.0666,13.34,3.74,1.515,"[0.0033, 0.0057, 0.008, 0.0095, 0.0059, 0.0051, 0.0059, 0.0071]","[0.0478, 0.0661, 0.0616, 0.0606, 0.0419, 0.0653, 0.0721, 0.0569]"
