service_time,threshold,patience,windows,delta_star,scaled_delta,beta_star,alpha_star,alpha_star_sqrt_c,k1
32.0,30.0,30.0,50,3.03663,2.84684,0.42944,0.0327081,0.23128,0.40538
32.0,30.0,30.0,100,3.41126,3.19806,0.34113,0.0260922,0.26092,0.40538
32.0,30.0,30.0,200,3.78374,3.54726,0.26755,0.0203508,0.2878,0.40538
32.0,30.0,30.0,500,4.27446,4.0073,0.19116,0.0142237,0.31805,0.40538
32.0,30.0,30.0,1000,4.64502,4.35471,0.14689,0.010649,0.33675,0.40538
32.0,30.0,30.0,2000,5.01529,4.70183,0.11215,0.0078722,0.35206,0.40538
32.0,30.0,30.0,5000,5.5045,5.16047,0.07785,0.0052004,0.36772,0.40538
32.0,30.0,30.0,10000,5.87446,5.5073,0.05874,0.0037669,0.37669,0.40538
32.0,30.0,120.0,10,2.74178,2.57042,0.86703,0.0201509,0.06372,0.27171
32.0,30.0,120.0,20,3.24593,3.04306,0.72581,0.0166929,0.07465,0.27171
32.0,30.0,120.0,50,3.7138,3.48169,0.52521,0.0150053,0.1061,0.27171
32.0,30.0,120.0,100,4.03114,3.77919,0.40311,0.0133538,0.13354,0.27171
32.0,30.0,120.0,200,4.35776,4.0854,0.30814,0.0112339,0.15887,0.27171
32.0,30.0,120.0,500,4.8035,4.50328,0.21482,0.008392,0.18765,0.27171
32.0,30.0,120.0,1000,5.14911,4.82729,0.16283,0.0065007,0.20557,0.27171
32.0,30.0,120.0,2000,5.50032,5.15655,0.12299,0.004926,0.2203,0.27171
32.0,30.0,120.0,5000,5.97116,5.59797,0.08444,0.0033293,0.23542,0.27171
32.0,30.0,120.0,10000,6.33108,5.93539,0.06331,0.0024408,0.24408,0.27171
