c,S,patience,display,min_step,monotone,dominated_by,max_excess_over_dominating,ordered
16,8.0,logn30,O*2,-9.803269307440132e-13,True,H|O*1.5,7.355227538141662e-13,True
16,8.0,logn30,O*3,-1.1168843627729075e-12,True,H|O*1.5|O*2,6.999956170261612e-13,True
16,8.0,logn30,O-M5,-3.057554209817681e-13,True,H|O-M10|O-M15|O-M30,5.917488721252084e-13,True
16,8.0,logn30,O-M10,-6.965539256498232e-13,True,H|O-M15|O-M30,7.12652159506888e-13,True
16,8.0,logn30,O-M15,-1.8429702208777599e-13,True,H|O-M30,1.074584865534689e-12,True
16,8.0,logn30,O-M30,-1.4196421815881877e-12,True,H,4.958256027975949e-13,True
16,8.0,logn30cv15,H,-2.7919888623273437e-12,True,,0.0,True
16,8.0,logn30cv15,O*1.5,-1.2599921106470902e-12,True,H,6.084022174945858e-13,True
16,8.0,logn30cv15,O*2,-1.0476064460362977e-12,True,H|O*1.5,4.1044945220392037e-13,True
16,8.0,logn30cv15,O*3,-1.894040480010517e-13,True,H|O*1.5|O*2,1.2839729279789935e-12,True
16,8.0,logn30cv15,O-M5,-8.815170815523743e-14,True,H|O-M10|O-M15|O-M30,4.658495811327157e-13,True
16,8.0,logn30cv15,O-M10,-5.686562332130052e-13,True,H|O-M15|O-M30,3.6637359812630166e-13,True
16,8.0,logn30cv15,O-M15,-2.76445533131664e-13,True,H|O-M30,1.694200335577989e-13,True
16,8.0,logn30cv15,O-M30,-1.0729195309977513e-12,True,H,3.7325698087897763e-13,True
16,16.0,exp30,H,-1.1242118347354335e-12,True,,0.0,True
16,16.0,exp30,O*1.5,-1.2261303083960229e-12,True,H,1.9615420399077266e-12,True
16,16.0,exp30,O*2,-2.0228263508670352e-13,True,H|O*1.5,2.653433028854124e-13,True
16,16.0,exp30,O*3,-2.0583534876550402e-13,True,H|O*1.5|O*2,2.757793993168889e-13,True
16,16.0,exp30,O-M5,-1.0258460747536446e-13,True,H|O-M10|O-M15|O-M30,-8.948397578478762e-14,True
16,16.0,exp30,O-M10,-5.371258993136507e-13,True,H|O-M15|O-M30,3.703704010149522e-13,True
16,16.0,exp30,O-M15,-3.610445276081009e-13,True,H|O-M30,2.1604940059205546e-13,True
16,16.0,exp30,O-M30,-7.8026474170656e-13,True,H,8.504308368628699e-14,True
16,16.0,logn30,H,-1.1222134332911082e-12,True,,0.0,True
16,16.0,logn30,O*1.5,-1.950883898871325e-12,True,H,1.5789591856218976e-12,True
16,16.0,logn30,O*2,-6.392664175791651e-13,True,H|O*1.5,1.5849543899548735e-12,True
16,16.0,logn30,O*3,-1.4659384817150567e-12,True,H|O*1.5|O*2,1.5547563236850692e-12,True
16,16.0,logn30,O-M5,-4.1944225870338414e-13,True,H|O-M10|O-M15|O-M30,1.1857181902996672e-13,True
16,16.0,logn30,O-M10,-2.3736568266485847e-13,True,H|O-M15|O-M30,1.7319479184152442e-13,True
16,16.0,logn30,O-M15,-1.3700152123874432e-13,True,H|O-M30,7.096545573404001e-13,True
16,16.0,logn30,O-M30,-1.311395436687235e-12,True,H,1.6613377340490842e-12,True
16,16.0,logn30cv15,H,-1.814992600657206e-12,True,,0.0,True
16,16.0,logn30cv15,O*1.5,-2.8821389719269064e-13,True,H,9.914291609902648e-13,True
