office,patience,plan_type,regime,false_balks_per_day,ontime_false_balks_per_day,ontime_share
R16_S16_A0.6,logn30,safe,O-M10,53.65,38.361,0.715
R16_S16_A0.6,logn30,safe,O-M12.5,30.183,14.894,0.4935
R16_S16_A0.6,logn30,safe,O-M15,15.289,0.0,0.0
R16_S16_A0.6,logn30,safe,O-M17.5,6.721,0.0,0.0
R16_S16_A0.6,logn30,safe,O-M20,2.541,0.0,0.0
R16_S16_A0.6,logn30,safe,O-M30,0.015,0.0,0.0
R16_S16_A0.6,logn30,safe,C,3.356,2.603,0.7759
R16_S16_A0.6,logn30,safe,C0-M5,136.915,121.644,0.8885
R16_S16_A0.6,logn30,safe,C1-M5,136.916,121.644,0.8885
R16_S16_A0.6,logn30,safe,C0-M10,59.411,44.974,0.757
R16_S16_A0.6,logn30,safe,C1-M10,59.55,45.114,0.7576
R16_S16_A0.6,logn30,safe,C0-M12.5,35.498,23.009,0.6482
R16_S16_A0.6,logn30,safe,C1-M12.5,35.944,23.456,0.6526
R16_S16_A0.6,logn30,safe,C0-M15,19.72,10.47,0.5309
R16_S16_A0.6,logn30,safe,C1-M15,20.678,11.428,0.5527
R16_S16_A0.6,logn30,safe,C0-M17.5,9.993,4.41,0.4413
R16_S16_A0.6,logn30,safe,C1-M17.5,11.566,5.954,0.5148
R16_S16_A0.6,logn30,safe,C0-M20,5.102,1.951,0.3824
R16_S16_A0.6,logn30,safe,C1-M20,7.226,3.913,0.5416
R16_S16_A0.6,logn30,safe,C0-M30,0.19,0.045,0.2401
R16_S16_A0.6,logn30,safe,C1-M30,3.438,2.618,0.7615
R16_S16_A0.6,logn30cv15,lean,O*1.5,29.738,27.672,0.9305
R16_S16_A0.6,logn30cv15,lean,O*2,54.361,51.013,0.9384
R16_S16_A0.6,logn30cv15,lean,O*3,92.171,87.366,0.9479
R16_S16_A0.6,logn30cv15,lean,O-M5,124.937,118.02,0.9446
R16_S16_A0.6,logn30cv15,lean,O-M10,33.718,26.802,0.7949
R16_S16_A0.6,logn30cv15,lean,O-M12.5,15.533,8.616,0.5547
R16_S16_A0.6,logn30cv15,lean,O-M15,6.917,0.0,0.0
R16_S16_A0.6,logn30cv15,lean,O-M17.5,2.973,0.0,0.0
R16_S16_A0.6,logn30cv15,lean,O-M20,1.23,0.0,0.0
R16_S16_A0.6,logn30cv15,lean,O-M30,0.02,0.0,0.0
R16_S16_A0.6,logn30cv15,lean,C,17.268,16.93,0.9804
R16_S16_A0.6,logn30cv15,lean,C0-M5,154.341,147.441,0.9553
R16_S16_A0.6,logn30cv15,lean,C1-M5,156.627,149.727,0.9559
R16_S16_A0.6,logn30cv15,lean,C0-M10,53.761,47.544,0.8843
R16_S16_A0.6,logn30cv15,lean,C1-M10,62.845,56.627,0.9011
R16_S16_A0.6,logn30cv15,lean,C0-M12.5,25.503,20.523,0.8047
R16_S16_A0.6,logn30cv15,lean,C1-M12.5,38.093,33.114,0.8693
R16_S16_A0.6,logn30cv15,lean,C0-M15,12.838,9.214,0.7177
R16_S16_A0.6,logn30cv15,lean,C1-M15,27.348,23.724,0.8675
R16_S16_A0.6,logn30cv15,lean,C0-M17.5,6.197,3.813,0.6153
R16_S16_A0.6,logn30cv15,lean,C1-M17.5,21.934,19.533,0.8905
R16_S16_A0.6,logn30cv15,lean,C0-M20,3.658,1.997,0.546
R16_S16_A0.6,logn30cv15,lean,C1-M20,19.93,18.216,0.914
R16_S16_A0.6,logn30cv15,lean,C0-M30,0.123,0.023,0.187
R16_S16_A0.6,logn30cv15,lean,C1-M30,17.343,16.942,0.9769
R16_S16_A0.6,logn30cv15,safe,O*1.5,20.913,20.512,0.9808
R16_S16_A0.6,logn30cv15,safe,O*2,38.975,38.31,0.9829
R16_S16_A0.6,logn30cv15,safe,O*3,68.167,67.216,0.9861
R16_S16_A0.6,logn30cv15,safe,O-M5,82.504,81.111,0.9831
R16_S16_A0.6,logn30cv15,safe,O-M10,13.523,12.129,0.8969
R16_S16_A0.6,logn30cv15,safe,O-M12.5,4.53,3.136,0.6923
R16_S16_A0.6,logn30cv15,safe,O-M15,1.394,0.0,0.0
R16_S16_A0.6,logn30cv15,safe,O-M17.5,0.388,0.0,0.0
R16_S16_A0.6,logn30cv15,safe,O-M20,0.097,0.0,0.0
R16_S16_A0.6,logn30cv15,safe,O-M30,0.0,0.0,
R16_S16_A0.6,logn30cv15,safe,C,11.788,11.752,0.9969
R16_S16_A0.6,logn30cv15,safe,C0-M5,104.471,103.084,0.9867
R16_S16_A0.6,logn30cv15,safe,C1-M5,106.792,105.405,0.987
R16_S16_A0.6,logn30cv15,safe,C0-M10,24.893,23.749,0.954
R16_S16_A0.6,logn30cv15,safe,C1-M10,32.525,31.381,0.9648
R16_S16_A0.6,logn30cv15,safe,C0-M12.5,10.374,9.512,0.917
R16_S16_A0.6,logn30cv15,safe,C1-M12.5,19.948,19.086,0.9568
R16_S16_A0.6,logn30cv15,safe,C0-M15,3.798,3.3,0.8687
R16_S16_A0.6,logn30cv15,safe,C1-M15,14.583,14.085,0.9658
R16_S16_A0.6,logn30cv15,safe,C0-M17.5,1.395,1.139,0.8161
R16_S16_A0.6,logn30cv15,safe,C1-M17.5,12.723,12.463,0.9795
R16_S16_A0.6,logn30cv15,safe,C0-M20,0.546,0.431,0.7894
R16_S16_A0.6,logn30cv15,safe,C1-M20,12.126,11.998,0.9895
R16_S16_A0.6,logn30cv15,safe,C0-M30,0.017,0.012,0.7273
R16_S16_A0.6,logn30cv15,safe,C1-M30,11.794,11.755,0.9967
