office,alpha,patience,history,period,hours_run,new_hours,new_plan,failures_per_day,fitted_family,fitted_mean,fitted_cv
R32,0.1,logn30,2,7,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",67.6,lognormal,29.4,0.487
R32,0.1,logn30,2,8,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",52.73,lognormal,29.2,0.484
R32,0.1,logn30,3,1,277,251,"[27, 47, 33, 20, 18, 31, 43, 32]",4.97,lognormal,26.7,0.43
R32,0.1,logn30,3,2,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",54.33,lognormal,27.7,0.463
R32,0.1,logn30,3,3,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",63.0,lognormal,29.0,0.481
R32,0.1,logn30,3,4,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",54.8,lognormal,29.4,0.49
R32,0.1,logn30,3,5,251,252,"[27, 47, 33, 20, 18, 32, 43, 32]",64.67,lognormal,29.9,0.497
R32,0.1,logn30,3,6,252,252,"[27, 47, 33, 20, 18, 32, 43, 32]",20.7,lognormal,29.7,0.492
R32,0.1,logn30,3,7,252,252,"[27, 47, 33, 20, 18, 32, 43, 32]",28.13,lognormal,30.1,0.5
R32,0.1,logn30,3,8,252,252,"[27, 47, 33, 20, 18, 32, 43, 32]",44.47,lognormal,30.2,0.501
R32,0.1,logn30,4,1,277,253,"[27, 47, 33, 20, 18, 32, 44, 32]",18.0,lognormal,29.8,0.487
R32,0.1,logn30,4,2,253,251,"[27, 47, 33, 20, 18, 31, 43, 32]",37.5,lognormal,29.1,0.481
R32,0.1,logn30,4,3,251,252,"[27, 47, 33, 20, 18, 32, 43, 32]",41.07,lognormal,30.6,0.511
R32,0.1,logn30,4,4,252,252,"[27, 47, 33, 20, 18, 32, 43, 32]",43.1,lognormal,30.2,0.504
R32,0.1,logn30,4,5,252,251,"[27, 47, 33, 20, 18, 31, 43, 32]",60.3,lognormal,30.2,0.505
R32,0.1,logn30,4,6,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",52.73,lognormal,30.7,0.516
R32,0.1,logn30,4,7,251,252,"[27, 47, 33, 20, 18, 32, 43, 32]",29.77,lognormal,30.7,0.515
