c,rho_fresh,S,patience,r,n_roots,total_rate_per_hour
4,1.5,16.0,120.0,1.0,0,
4,2.0,4.0,10.0,0.5,1,180.0001
4,2.0,4.0,10.0,0.9,1,660.0
4,2.0,4.0,10.0,1.0,0,
4,2.0,4.0,30.0,0.5,1,180.0
4,2.0,4.0,30.0,0.9,1,660.0
4,2.0,4.0,30.0,1.0,0,
4,2.0,4.0,120.0,0.5,1,180.0
4,2.0,4.0,120.0,0.9,1,660.0
4,2.0,4.0,120.0,1.0,0,
4,2.0,16.0,10.0,0.5,1,45.0521
4,2.0,16.0,10.0,0.9,1,165.0
4,2.0,16.0,10.0,1.0,0,
4,2.0,16.0,30.0,0.5,1,45.0003
4,2.0,16.0,30.0,0.9,1,165.0
4,2.0,16.0,30.0,1.0,0,
4,2.0,16.0,120.0,0.5,1,45.0
4,2.0,16.0,120.0,0.9,1,165.0
4,2.0,16.0,120.0,1.0,0,
8,0.5,4.0,10.0,0.5,1,60.1344
8,0.5,4.0,10.0,0.9,1,60.2448
8,0.5,4.0,10.0,1.0,1,60.2728
8,0.5,4.0,30.0,0.5,1,60.0529
8,0.5,4.0,30.0,0.9,1,60.0957
8,0.5,4.0,30.0,1.0,1,60.1065
8,0.5,4.0,120.0,0.5,1,60.0143
8,0.5,4.0,120.0,0.9,1,60.0258
8,0.5,4.0,120.0,1.0,1,60.0287
8,0.5,16.0,10.0,0.5,1,15.0859
8,0.5,16.0,10.0,0.9,1,15.1591
8,0.5,16.0,10.0,1.0,1,15.1781
8,0.5,16.0,30.0,0.5,1,15.0419
8,0.5,16.0,30.0,0.9,1,15.0764
8,0.5,16.0,30.0,1.0,1,15.0852
8,0.5,16.0,120.0,0.5,1,15.0132
8,0.5,16.0,120.0,0.9,1,15.0239
8,0.5,16.0,120.0,1.0,1,15.0266
8,0.8,4.0,10.0,0.5,1,98.4245
8,0.8,4.0,10.0,0.9,1,100.997
8,0.8,4.0,10.0,1.0,1,101.7802
8,0.8,4.0,30.0,0.5,1,97.1953
8,0.8,4.0,30.0,0.9,1,98.3137
8,0.8,4.0,30.0,1.0,1,98.6225
8,0.8,4.0,120.0,0.5,1,96.3933
8,0.8,4.0,120.0,0.9,1,96.7266
8,0.8,4.0,120.0,1.0,1,96.8127
8,0.8,16.0,10.0,0.5,1,25.1649
8,0.8,16.0,10.0,0.9,1,26.6667
8,0.8,16.0,10.0,1.0,1,27.2153
8,0.8,16.0,30.0,0.5,1,24.7095
8,0.8,16.0,30.0,0.9,1,25.4916
8,0.8,16.0,30.0,1.0,1,25.7376
8,0.8,16.0,120.0,0.5,1,24.2988
8,0.8,16.0,120.0,0.9,1,24.5784
8,0.8,16.0,120.0,1.0,1,24.6556
8,0.95,4.0,10.0,0.5,1,120.6935
8,0.95,4.0,10.0,0.9,1,131.9276
8,0.95,4.0,10.0,1.0,1,138.1813
8,0.95,4.0,30.0,0.5,1,118.0855
8,0.95,4.0,30.0,0.9,1,123.8389
8,0.95,4.0,30.0,1.0,1,126.2923
8,0.95,4.0,120.0,0.5,1,115.866
8,0.95,4.0,120.0,0.9,1,117.9916
8,0.95,4.0,120.0,1.0,1,118.6995
8,0.95,16.0,10.0,0.5,1,31.1774
8,0.95,16.0,10.0,0.9,1,36.7697
8,0.95,16.0,10.0,1.0,1,41.4062
8,0.95,16.0,30.0,0.5,1,30.3706
8,0.95,16.0,30.0,0.9,1,33.6586
8,0.95,16.0,30.0,1.0,1,35.6343
8,0.95,16.0,120.0,0.5,1,29.5214
8,0.95,16.0,120.0,0.9,1,30.9597
